Modality,Gender,Race_ETH,Tobacco_Ever,Afib,PVD,Statins,anyPhysicalActivity,weight
CT,F,Asian and Pacific Islander,0,0,0,0,0,0.000320496
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,0,0,1,0.022301411766945806
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,0,1,0,0.000507716
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,0,1,1,0.017294065755528547
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,1,0,0,7.298413071140488e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,1,0,1,0.000152315
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,1,1,0,0.000142795
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,0,1,1,1,0.000352228
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,0,0,0,7.933057686022269e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,0,0,1,0.000485503
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,0,1,0,0.000117409
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,0,1,1,0.000859943
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,1,0,0,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,1,0,1,3.1732230744089077e-06
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,1,1,0,2.855900766968017e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,0,1,1,1,1,4.12518999673158e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,0,0,0,0,0.000320496
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,0,0,0,1,0.00432193
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,0,0,1,0,0.000609259
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,0,0,1,1,0.004556748
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,0,1,0,0,4.12518999673158e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,0,1,0,1,6.029123841376925e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,0,1,1,0,8.25037999346316e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,0,1,1,1,0.00010789
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,1,0,0,0,3.8078676892906896e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,1,0,0,1,9.202346915785832e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,1,0,1,0,0.000117409
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,1,0,1,1,0.000222126
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,1,1,0,0,9.519669223226724e-06
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,1,1,1,0,1.586611537204454e-05
,,,,,,,,
,,,,,,,,
CT,F,Asian and Pacific Islander,1,1,1,1,1,3.1732230744089077e-06
,,,,,,,,
,,,,,,,,
CT,F,Black,0,0,0,0,0,0.002916192
,,,,,,,,
,,,,,,,,
CT,F,Black,0,0,0,0,1,0.013797174
,,,,,,,,
,,,,,,,,
CT,F,Black,0,0,0,1,0,0.002230776
,,,,,,,,
,,,,,,,,
CT,F,Black,0,0,0,1,1,0.007320626
,,,,,,,,
,,,,,,,,
CT,F,Black,0,0,1,0,0,0.000206259
,,,,,,,,
,,,,,,,,
CT,F,Black,0,0,1,0,1,0.00018722
,,,,,,,,
,,,,,,,,
CT,F,Black,0,0,1,1,0,0.000349055
,,,,,,,,
,,,,,,,,
CT,F,Black,0,0,1,1,1,0.000253858
,,,,,,,,
,,,,,,,,
CT,F,Black,0,1,0,0,0,0.000212606
,,,,,,,,
,,,,,,,,
CT,F,Black,0,1,0,0,1,0.000317322
,,,,,,,,
,,,,,,,,
CT,F,Black,0,1,0,1,0,0.000253858
,,,,,,,,
,,,,,,,,
CT,F,Black,0,1,0,1,1,0.000272897
,,,,,,,,
,,,,,,,,
CT,F,Black,0,1,1,0,0,2.2212561520862357e-05
,,,,,,,,
,,,,,,,,
CT,F,Black,0,1,1,0,1,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,F,Black,0,1,1,1,0,3.4905453818497984e-05
,,,,,,,,
,,,,,,,,
CT,F,Black,0,1,1,1,1,1.586611537204454e-05
,,,,,,,,
,,,,,,,,
CT,F,Black,1,0,0,0,0,0.004007781
,,,,,,,,
,,,,,,,,
CT,F,Black,1,0,0,0,1,0.008342403
,,,,,,,,
,,,,,,,,
CT,F,Black,1,0,0,1,0,0.00421404
,,,,,,,,
,,,,,,,,
CT,F,Black,1,0,0,1,1,0.00624173
,,,,,,,,
,,,,,,,,
CT,F,Black,1,0,1,0,0,0.000307803
,,,,,,,,
,,,,,,,,
CT,F,Black,1,0,1,0,1,0.000168181
,,,,,,,,
,,,,,,,,
CT,F,Black,1,0,1,1,0,0.000606086
,,,,,,,,
,,,,,,,,
CT,F,Black,1,0,1,1,1,0.000342708
,,,,,,,,
,,,,,,,,
CT,F,Black,1,1,0,0,0,0.000228472
,,,,,,,,
,,,,,,,,
CT,F,Black,1,1,0,0,1,0.000174527
,,,,,,,,
,,,,,,,,
CT,F,Black,1,1,0,1,0,0.000380787
,,,,,,,,
,,,,,,,,
CT,F,Black,1,1,0,1,1,0.000237992
,,,,,,,,
,,,,,,,,
CT,F,Black,1,1,1,0,0,4.442512304172471e-05
,,,,,,,,
,,,,,,,,
CT,F,Black,1,1,1,1,0,0.000117409
,,,,,,,,
,,,,,,,,
CT,F,Black,1,1,1,1,1,2.855900766968017e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,0,0,0,0.012172483713432571
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,0,0,1,0.051701324
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,0,1,0,0.010820690683734376
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,0,1,1,0.029482415584333163
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,1,0,0,0.000523582
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,1,0,1,0.000441078
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,1,1,0,0.00096466
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,0,1,1,1,0.000682243
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,0,0,0,0.000656857
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,0,0,1,0.000650511
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,0,1,0,0.000990046
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,0,1,1,0.000748881
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,1,0,0,5.711801533936034e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,1,0,1,2.5385784595271262e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,1,1,0,0.000155488
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,0,1,1,1,1,6.663768456258707e-05
,,,,,,,,
,,,,,,,,
CT,F,Hispanic,1,0,0,0,0,0.010011518799760104
,,,,,,,,
